Time,X-Acceleration,Y-Acceleration,Z-Acceleration,X-Velocity,Y-Velocity,Z-Velocity,Composite-Acceleration,Composite-Velocity,Temperature Z,Temperature-XYZ
00:00.0,0.486816406,0.324462891,0.466308594,1.083007813,0.993164063,1.159179688,0.674316406,1.874023438,10.125,10.125
00:00.0,13.53125,20.65625,8.0546875,1.32421875,1.244140625,1.14453125,20.921875,2.146484375,13.1875,13.1875
00:00.0,19.46875,13.7734375,10.0390625,2.255859375,1.723632813,1.654296875,19.515625,3.28515625,17.9375,17.9375
00:00.0,21.3125,14.8203125,11.3515625,2.412109375,2.046875,2.115234375,21.8125,3.806640625,20.5625,20.5625
00:00.0,17.5625,15.765625,11.28125,2.8125,2.091796875,1.991210938,22.71875,4.03125,22.4375,22.4375
00:00.0,13.8203125,16.703125,9.8515625,2.439453125,1.930664063,1.733398438,19,3.560546875,23.75,23.75
00:00.0,15.3203125,15.671875,10.4453125,2.583984375,2.041015625,1.852539063,18.375,3.779296875,24.25,24.25
00:00.0,16.078125,19.65625,9.359375,1.852539063,1.795898438,2.25390625,20.375,3.42578125,22.8125,22.8125
00:00.0,17.421875,19.890625,10.8671875,2.048828125,2.216796875,2.48046875,22.109375,3.90625,23.375,23.375
00:00.0,15.640625,20.234375,13.2890625,1.919921875,1.916015625,1.80859375,20.78125,3.259765625,22.6875,22.6875
00:00.0,16.171875,14.84375,9.9296875,1.755859375,1.584960938,1.55859375,19.515625,2.83203125,21.4375,21.4375
00:00.0,13.8515625,14.578125,8.859375,1.63671875,1.870117188,1.624023438,17.015625,2.96875,20.75,20.75
00:00.0,13.5625,16.40625,10.8203125,1.596679688,1.604492188,1.688476563,17.109375,2.82421875,20.375,20.375
00:00.0,15.34375,18.5625,9.28125,1.880859375,1.772460938,1.721679688,20.640625,3.10546875,19.375,19.375
00:00.0,16.984375,17.375,9.640625,2.134765625,1.8515625,2.244140625,19.890625,3.607421875,19.625,19.625
00:00.0,18.1875,19.640625,11.796875,2.02734375,1.93359375,1.752929688,21.109375,3.3046875,19.5625,19.5625
00:00.0,16.5,15.0390625,9.7265625,1.924804688,2.072265625,1.920898438,18.453125,3.419921875,19.8125,19.8125
00:00.0,15.796875,15.1328125,10.1015625,2.24609375,1.859375,1.806640625,18.5,3.4296875,19.9375,19.9375
00:00.0,13.890625,15.703125,9.9765625,1.82421875,1.782226563,1.5390625,16.9375,2.978515625,19.6875,19.6875
